name, color, ppg
Acidulated Malt (DE), 3, 27
CaraFoam (DE), 1, 37
Caramel Pils (BE), 2, 35
Carapils (DE), 1, 35
Carapils (Dextrine Malt) (US), 1, 33
Dextrine Malt (UK), 1, 33
Flaked Barley, 2, 32
Flaked Corn, 0, 40
Flaked Oats, 2, 33
Flaked Rice, 0, 40
Flaked Rye, 2, 36
Flaked Wheat, 2, 34
Floor-Malted Bohemian Wheat (DE), 1, 38
Golden Naked Oats (UK), 10, 33
Grits, 1, 37
Malted Naked Oats (UK), 1, 33
Midnight Wheat Malt (US), 550, 33
Oat Malt (UK), 2, 28
Pale Wheat (DE), 2, 36
Peated Malt (UK), 2, 38
Red Wheat (US), 2, 38
Rice Hulls, 0, 0
Rolled Oats, 2, 33
Rye (DE), 3, 38
Rye (US), 3, 38
Smoked Malt (DE), 3, 37
Smoked Malt (US), 5, 37
Spelt Malt (DE), 2, 37
Torrified Barley, 2, 36
Torrified Wheat, 2, 36
Unmalted Wheat (BE), 2, 36
Wheat (BE), 1, 38
Wheat (UK), 2, 37
Wheat (US), 1, 38
Wheat Malt (DE), 2, 37
White Wheat  (US), 2, 40
2-Row (US), 1, 37
6-Row (US), 1, 35
Bohemian Pilsner (DE), 1, 38
Floor-Malted Bohemian Dark Pilsner (DE), 6, 38
Floor-Malted Bohemian Pilsner (DE), 1, 38
Golden Promise (UK), 3, 37
Halcyon (UK), 2, 36
K\u00f6lsch (DE), 2, 37
Lager (UK), 1, 38
Maris Otter Pale (UK), 3, 38
Mild (UK), 3, 37
Optic (UK), 2, 38
Pale 2-Row - Toasted (US), 30, 33
Pale 2-Row (CA), 1, 36
Pale 2-Row (UK), 2, 38
Pale 2-Row (US), 1, 37
Pale 6-Row (US), 1, 35
Pale Ale (BE), 3, 38
Pale Ale (DE), 2, 39
Pale Ale (US), 3, 37
Pale Ale (CA), 3, 37
Pale Wheat (CA), 2, 36
Pearl (UK), 2, 37
Pilsen (UK), 1, 36
Pilsner (BE), 1, 37
Pilsner (DE), 1, 38
Pilsner (US), 1, 37
Cara 20L (BE), 22, 34
Cara 45L (BE), 42, 34
Cara Malt (UK), 17, 35
CaraAmber (DE), 23, 34
CaraAroma (DE), 130, 34
CaraBelge (DE), 13, 33
CaraBohemian (DE), 75, 33
Carafa I (DE), 340, 32
Carafa II (DE), 425, 32
Carafa III (DE), 535, 32
CaraHell (DE), 11, 34
Caramel/Crystal 10L (US), 10, 35
Caramel/Crystal 120L (US), 120, 33
Caramel/Crystal 150L (US), 150, 33
Caramel/Crystal 15L (US), 15, 35
Caramel/Crystal 20L (US), 20, 35
Caramel/Crystal 30L (US), 30, 34
Caramel/Crystal 40L (US), 40, 34
Caramel/Crystal 60L (US), 60, 34
Caramel/Crystal 75L (US), 75, 33
Caramel/Crystal 80L (US), 80, 33
Caramel/Crystal 90L (US), 90, 33
Caramel Pils (DE), 8, 34
Caramel Wheat (DE), 46, 34
CaraMunich I (DE), 39, 34
CaraMunich II (DE), 46, 34
CaraMunich III (DE), 57, 34
